-12dB.csv_x,-12dB.csv_y,-3dB.csv_x,-3dB.csv_y,-6dB.csv_x,-6dB.csv_y,match.csv_x,match.csv_y,short.csv_x,short.csv_y,5_x,5_y
27.,3619.,27.,2844.,27.,3231.,27.,3721.,27.,2194.,100.,2251.
37.,3596.,37.,2684.,37.,3136.,37.,3717.,37.,1960.,101.,2251.
47.,3577.,47.,2626.,47.,3094.,47.,3718.,47.,1862.,102.,2248.
57.,3574.,57.,2583.,57.,3065.,57.,3714.,57.,1804.,103.,2259.
67.,3566.,67.,2526.,67.,3025.,67.,3710.,67.,1719.,104.,2262.
77.,3562.,77.,2490.,77.,3008.,77.,3707.,77.,1650.,105.,2293.
87.,3551.,87.,2469.,87.,2989.,87.,3705.,87.,1619.,106.,2337.
97.,3550.,97.,2456.,97.,2983.,97.,3705.,97.,1602.,107.,2432.
107.,3554.,107.,2430.,107.,2977.,107.,3705.,107.,1560.,108.,2536.
117.,3544.,117.,2395.,117.,2950.,117.,3704.,117.,1487.,109.,2685.
127.,3537.,127.,2373.,127.,2937.,127.,3698.,127.,1451.,110.,2833.
137.,3538.,137.,2350.,137.,2930.,137.,3692.,137.,1417.,111.,2770.
147.,3530.,147.,2292.,147.,2903.,147.,3696.,147.,1349.,112.,2626.
157.,3519.,157.,2301.,157.,2892.,157.,3693.,157.,1325.,113.,2521.
167.,3515.,167.,2254.,167.,2860.,167.,3685.,167.,1250.,114.,2426.
177.,3499.,177.,2215.,177.,2843.,177.,3676.,177.,1196.,115.,2340.
187.,3500.,187.,2233.,187.,2855.,187.,3679.,187.,1203.,116.,2288.
197.,3495.,197.,2263.,197.,2855.,197.,3678.,197.,1270.,117.,2253.
207.,3431.,207.,2231.,207.,2794.,207.,3671.,207.,1338.,118.,2219.
217.,3394.,217.,2211.,217.,2760.,217.,3669.,217.,1341.,119.,2188.
227.,3399.,227.,2230.,227.,2774.,227.,3672.,227.,1392.,120.,2162.
237.,3395.,237.,2231.,237.,2777.,237.,3659.,237.,1385.,121.,2139.
247.,3392.,247.,2256.,247.,2755.,247.,3658.,247.,1440.,122.,2120.
257.,3391.,257.,2259.,257.,2785.,257.,3659.,257.,1453.,123.,2102.
267.,3388.,267.,2274.,267.,2780.,267.,3665.,267.,1471.,124.,2091.
277.,3378.,277.,2283.,277.,2776.,277.,3664.,277.,1520.,125.,2083.
287.,3383.,287.,2327.,287.,2801.,287.,3665.,287.,1623.,126.,2070.
297.,3389.,297.,2374.,297.,2823.,297.,3659.,297.,1685.,127.,2053.
307.,3393.,307.,2405.,307.,2837.,307.,3653.,307.,1753.,128.,2046.
