short_x,short_y,match_x,match_y,2_x,2_y,3_x,3_y,4_x,4_y,x0005,y0005
27.,2484.,27.,3936.,2000.,2630.,2000.,2612.,2000.,2648.,2000.,2648.
28.,2467.,37.,3934.,2010.,2600.,2010.,2591.,2001.,2621.,2001.,2621.
29.,2436.,47.,3928.,2020.,2562.,2020.,2568.,2002.,2600.,2002.,2600.
30.,2409.,57.,3922.,2030.,2566.,2030.,2575.,2003.,2594.,2003.,2594.
31.,2388.,67.,3926.,2040.,2561.,2040.,2563.,2004.,2593.,2004.,2593.
32.,2371.,77.,3923.,2050.,2565.,2050.,2566.,2005.,2594.,2005.,2594.
33.,2353.,87.,3920.,2060.,2593.,2060.,2599.,2006.,2597.,2006.,2597.
34.,2336.,97.,3919.,2070.,2662.,2070.,2655.,2007.,2593.,2007.,2593.
35.,2322.,107.,3912.,2080.,2689.,2080.,2683.,2008.,2593.,2008.,2593.
36.,2313.,117.,3915.,2090.,2756.,2090.,2763.,2009.,2587.,2009.,2587.
37.,2299.,127.,3912.,2100.,2913.,2100.,2911.,2010.,2591.,2010.,2591.
38.,2285.,137.,3914.,2110.,3103.,2110.,3093.,2011.,2590.,2011.,2590.
39.,2272.,147.,3910.,2120.,3316.,2120.,3308.,2012.,2585.,2012.,2585.
40.,2261.,157.,3901.,2130.,3503.,2130.,3494.,2013.,2591.,2013.,2591.
41.,2253.,167.,3899.,2140.,3575.,2140.,3576.,2014.,2589.,2014.,2589.
42.,2236.,177.,3891.,2150.,3700.,2150.,3705.,2015.,2586.,2015.,2586.
43.,2229.,187.,3898.,2160.,3761.,2160.,3766.,2016.,2575.,2016.,2575.
44.,2222.,197.,3891.,2170.,3774.,2170.,3787.,2017.,2567.,2017.,2567.
45.,2216.,207.,3887.,2180.,3736.,2180.,3718.,2018.,2562.,2018.,2562.
46.,2209.,217.,3880.,2190.,3604.,2190.,3584.,2019.,2563.,2019.,2563.
47.,2213.,227.,3879.,2200.,3463.,2200.,3454.,2020.,2564.,2020.,2564.
48.,2204.,237.,3879.,2210.,3351.,2210.,3313.,2021.,2566.,2021.,2566.
49.,2198.,247.,3877.,2220.,3235.,2220.,3239.,2022.,2562.,2022.,2562.
50.,2193.,257.,3876.,2230.,3136.,2230.,3157.,2023.,2566.,2023.,2566.
51.,2187.,267.,3877.,2240.,3071.,2240.,3078.,2024.,2563.,2024.,2563.
52.,2187.,277.,3867.,2250.,3049.,2250.,3057.,2025.,2566.,2025.,2566.
53.,2180.,287.,3861.,2260.,2988.,2260.,2994.,2026.,2570.,2026.,2570.
54.,2175.,297.,3857.,2270.,2976.,2270.,2979.,2027.,2567.,2027.,2567.
55.,2174.,307.,3853.,2280.,2938.,2280.,2945.,2028.,2565.,2028.,2565.
56.,2169.,317.,3850.,2290.,2966.,2290.,2946.,2029.,2565.,2029.,2565.
57.,2164.,327.,3847.,2300.,2969.,2300.,2962.,2030.,2567.,2030.,2567.
58.,2146.,337.,3840.,2310.,2991.,2310.,2985.,2031.,2563.,2031.,2563.
59.,2140.,347.,3837.,2320.,3057.,2320.,3054.,2032.,2562.,2032.,2562.
60.,2132.,357.,3830.,2330.,3133.,2330.,3135.,2033.,2559.,2033.,2559.
61.,2125.,367.,3831.,2340.,3230.,2340.,3225.,2034.,2558.,2034.,2558.
62.,2117.,377.,3829.,2350.,3363.,2350.,3367.,2035.,2560.,2035.,2560.
63.,2111.,387.,3825.,2360.,3386.,2360.,3395.,2036.,2560.,2036.,2560.
64.,2103.,397.,3822.,2370.,3565.,2370.,3567.,2037.,2558.,2037.,2558.
