-12dB.csv_x,-12dB.csv_y,-3dB.csv_x,-3dB.csv_y,-6dB.csv_x,-6dB.csv_y,match.csv_x,match.csv_y,short.csv_x,short.csv_y,x0005,y0005,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y
27.,3619.,27.,2844.,27.,3231.,27.,3721.,27.,2194.,750.,2000.,30.,1529.,30.,3119.,30.,2163.,30.,2540.,30.,2972.
37.,3596.,37.,2684.,37.,3136.,37.,3717.,37.,1960.,,,40.,1408.,40.,3119.,40.,2067.,40.,2475.,40.,2954.
47.,3577.,47.,2626.,47.,3094.,47.,3718.,47.,1862.,,,50.,1354.,50.,3120.,50.,2028.,50.,2451.,50.,2953.
57.,3574.,57.,2583.,57.,3065.,57.,3714.,57.,1804.,,,60.,1311.,60.,3121.,60.,1991.,60.,2430.,60.,2955.
67.,3566.,67.,2526.,67.,3025.,67.,3710.,67.,1719.,,,70.,1273.,70.,3120.,70.,1964.,70.,2412.,70.,2940.
77.,3562.,77.,2490.,77.,3008.,77.,3707.,77.,1650.,,,80.,1245.,80.,3113.,80.,1950.,80.,2397.,80.,2942.
87.,3551.,87.,2469.,87.,2989.,87.,3705.,87.,1619.,,,90.,1232.,90.,3116.,90.,1931.,90.,2387.,90.,2935.
97.,3550.,97.,2456.,97.,2983.,97.,3705.,97.,1602.,,,100.,1228.,100.,3113.,100.,1936.,100.,2395.,100.,2940.
107.,3554.,107.,2430.,107.,2977.,107.,3705.,107.,1560.,,,110.,1214.,110.,3119.,110.,1936.,110.,2393.,110.,2942.
117.,3544.,117.,2395.,117.,2950.,117.,3704.,117.,1487.,,,120.,1170.,120.,3110.,120.,1911.,120.,2382.,120.,2935.
127.,3537.,127.,2373.,127.,2937.,127.,3698.,127.,1451.,,,130.,1154.,130.,3113.,130.,1896.,130.,2375.,130.,2935.
137.,3538.,137.,2350.,137.,2930.,137.,3692.,137.,1417.,,,140.,1129.,140.,3111.,140.,1891.,140.,2369.,140.,2933.
147.,3530.,147.,2292.,147.,2903.,147.,3696.,147.,1349.,,,150.,1116.,150.,3106.,150.,1880.,150.,2361.,150.,2931.
157.,3519.,157.,2301.,157.,2892.,157.,3693.,157.,1325.,,,160.,1096.,160.,3105.,160.,1872.,160.,2357.,160.,2929.
167.,3515.,167.,2254.,167.,2860.,167.,3685.,167.,1250.,,,170.,1072.,170.,3100.,170.,1862.,170.,2357.,170.,2931.
177.,3499.,177.,2215.,177.,2843.,177.,3676.,177.,1196.,,,180.,1030.,180.,3105.,180.,1849.,180.,2349.,180.,2930.
187.,3500.,187.,2233.,187.,2855.,187.,3679.,187.,1203.,,,190.,1026.,190.,3103.,190.,1864.,190.,2364.,190.,2932.
197.,3495.,197.,2263.,197.,2855.,197.,3678.,197.,1270.,,,200.,1017.,200.,3103.,200.,1852.,200.,2359.,200.,2933.
207.,3431.,207.,2231.,207.,2794.,207.,3671.,207.,1338.,,,210.,1007.,210.,3101.,210.,1850.,210.,2362.,210.,2934.
217.,3394.,217.,2211.,217.,2760.,217.,3669.,217.,1341.,,,220.,1012.,220.,3096.,220.,1851.,220.,2364.,220.,2932.
227.,3399.,227.,2230.,227.,2774.,227.,3672.,227.,1392.,,,230.,1007.,230.,3099.,230.,1847.,230.,2359.,230.,2932.
237.,3395.,237.,2231.,237.,2777.,237.,3659.,237.,1385.,,,240.,1012.,240.,3100.,240.,1845.,240.,2355.,240.,2933.
247.,3392.,247.,2256.,247.,2755.,247.,3658.,247.,1440.,,,250.,1019.,250.,3096.,250.,1843.,250.,2355.,250.,2931.
257.,3391.,257.,2259.,257.,2785.,257.,3659.,257.,1453.,,,260.,1029.,260.,3089.,260.,1844.,260.,2355.,260.,2934.
267.,3388.,267.,2274.,267.,2780.,267.,3665.,267.,1471.,,,270.,1042.,270.,3093.,270.,1845.,270.,2348.,270.,2930.
277.,3378.,277.,2283.,277.,2776.,277.,3664.,277.,1520.,,,280.,1026.,280.,3090.,280.,1840.,280.,2351.,280.,2932.
287.,3383.,287.,2327.,287.,2801.,287.,3665.,287.,1623.,,,290.,1022.,290.,3085.,290.,1835.,290.,2350.,290.,2931.
297.,3389.,297.,2374.,297.,2823.,297.,3659.,297.,1685.,,,300.,1012.,300.,3083.,300.,1837.,300.,2353.,300.,2936.
307.,3393.,307.,2405.,307.,2837.,307.,3653.,307.,1753.,,,310.,993.,310.,3084.,310.,1838.,310.,2350.,310.,2932.
317.,3387.,317.,2390.,317.,2824.,317.,3654.,317.,1754.,,,320.,992.,320.,3082.,320.,1824.,320.,2345.,320.,2930.
327.,3378.,327.,2396.,327.,2823.,327.,3648.,327.,1753.,,,330.,953.,330.,3083.,330.,1798.,330.,2335.,330.,2928.
337.,3385.,337.,2424.,337.,2842.,337.,3643.,337.,1795.,,,340.,916.,340.,3077.,340.,1780.,340.,2316.,340.,2924.
347.,3388.,347.,2458.,347.,2865.,347.,3639.,347.,1842.,,,350.,871.,350.,3073.,350.,1758.,350.,2301.,350.,2919.
357.,3381.,357.,2443.,357.,2856.,357.,3636.,357.,1845.,,,360.,835.,360.,3071.,360.,1733.,360.,2294.,360.,2912.
