freq, ADC_open, voltage_open
25, 114, 0.09377
26, 121, 0.09768
27, 117, 0.09377
28, 118, 0.09377
29, 104, 0.09143
30, 105, 0.09143
31, 105, 0.07893
32, 104, 0.07736
33, 106, 0.08127
34, 103, 0.08440
35, 94, 0.07893
36, 100, 0.08440
37, 95, 0.08049
38, 102, 0.07267
39, 99, 0.07893
40, 91, 0.07736
41, 99, 0.06877
42, 97, 0.07893
43, 90, 0.07658
44, 95, 0.07424
45, 97, 0.07658
46, 97, 0.06720
47, 98, 0.07580
48, 89, 0.07971
49, 93, 0.07346
50, 96, 0.07189
51, 89, 0.07736
52, 98, 0.07033
53, 91, 0.07346
54, 92, 0.06877
55, 96, 0.07267
56, 89, 0.06877
57, 88, 0.07033
58, 90, 0.07111
59, 91, 0.07111
60, 87, 0.06877
61, 85, 0.06408
62, 89, 0.06408
63, 87, 0.06330
64, 83, 0.06330
65, 81, 0.06330
66, 85, 0.06252
67, 86, 0.06330
68, 78, 0.06408
69, 81, 0.06330
70, 78, 0.06330
71, 83, 0.06330
72, 80, 0.06564
73, 78, 0.06408
74, 78, 0.06564
75, 84, 0.06486
76, 82, 0.06486
77, 76, 0.05861
78, 79, 0.06252
79, 81, 0.06173
80, 76, 0.06095
81, 79, 0.05861
82, 79, 0.05939
83, 78, 0.06095
84, 79, 0.06173
85, 77, 0.06252
86, 80, 0.06017
87, 76, 0.06252
88, 77, 0.06408
89, 76, 0.06017
90, 77, 0.06017
91, 74, 0.06252
92, 74, 0.05783
93, 78, 0.05783
94, 75, 0.05939
95, 78, 0.06017
96, 81, 0.06252
97, 82, 0.06252
98, 78, 0.06095
99, 81, 0.06173
100, 77, 0.06408
101, 79, 0.05861
102, 80, 0.06095
103, 75, 0.06095
104, 80, 0.06095
105, 79, 0.06173
106, 78, 0.06095
107, 74, 0.05783
108, 78, 0.05939
109, 76, 0.05783
110, 74, 0.06017
111, 75, 0.05626
112, 78, 0.05783
113, 74, 0.05861
114, 74, 0.05626
115, 70, 0.05470
116, 70, 0.05236
117, 71, 0.05470
118, 69, 0.05158
119, 69, 0.05470
120, 67, 0.05158
121, 66, 0.05314
122, 70, 0.05392
123, 67, 0.05314
124, 68, 0.05392
125, 65, 0.05079
126, 68, 0.05158
127, 69, 0.05079
128, 68, 0.05079
129, 65, 0.05158
130, 68, 0.05158
131, 67, 0.05314
132, 66, 0.05236
133, 66, 0.05236
134, 65, 0.05236
135, 64, 0.05236
136, 65, 0.05079
137, 66, 0.05079
138, 63, 0.05001
139, 66, 0.05158
140, 66, 0.05158
141, 67, 0.05001
142, 64, 0.04845
143, 64, 0.05001
144, 64, 0.04845
145, 62, 0.04923
146, 66, 0.05001
147, 62, 0.05079
148, 62, 0.05236
149, 64, 0.04923
150, 63, 0.05079
151, 63, 0.05079
152, 66, 0.05001
153, 62, 0.04923
154, 61, 0.04767
155, 63, 0.04689
156, 64, 0.05001
157, 61, 0.05001
158, 61, 0.04845
159, 64, 0.04845
160, 61, 0.04767
161, 60, 0.04689
162, 62, 0.04767
163, 61, 0.04689
164, 61, 0.04767
165, 61, 0.04845
166, 64, 0.04845
167, 64, 0.05001
168, 64, 0.04845
169, 63, 0.04845
170, 62, 0.04767
171, 61, 0.04845
172, 59, 0.04767
173, 64, 0.05001
174, 61, 0.04689
175, 64, 0.04767
176, 59, 0.04767
177, 59, 0.04767
178, 60, 0.04845
179, 61, 0.04689
180, 60, 0.04611
181, 60, 0.04767
182, 58, 0.04532
183, 61, 0.04532
184, 61, 0.04611
185, 60, 0.05001
186, 59, 0.04845
187, 63, 0.04767
188, 66, 0.05158
189, 68, 0.05158
190, 67, 0.05392
191, 67, 0.05158
192, 69, 0.05314
193, 70, 0.05314
194, 69, 0.05236
195, 68, 0.05314
196, 68, 0.05470
197, 67, 0.05314
198, 66, 0.05314
199, 68, 0.05236
200, 68, 0.05236
201, 67, 0.05236
202, 66, 0.05236
203, 67, 0.05314
204, 66, 0.05158
205, 67, 0.05079
206, 66, 0.05079
207, 65, 0.05079
208, 64, 0.05158
209, 64, 0.04923
210, 64, 0.05001
211, 62, 0.05001
212, 62, 0.04845
213, 61, 0.04845
214, 60, 0.04923
215, 60, 0.04845
216, 62, 0.04611
217, 60, 0.04923
218, 60, 0.04689
219, 59, 0.04611
220, 59, 0.04767
221, 59, 0.04767
