freq, ADC, voltage
25, 235, 0.16488
26, 216, 0.17426
27, 223, 0.17973
28, 229, 0.16567
29, 233, 0.18286
30, 216, 0.18129
31, 230, 0.17661
32, 231, 0.16723
33, 220, 0.17426
34, 219, 0.18051
35, 213, 0.18051
36, 217, 0.17661
37, 222, 0.16723
38, 231, 0.16879
39, 232, 0.17504
40, 227, 0.17114
41, 225, 0.16801
42, 230, 0.16801
43, 221, 0.17973
44, 216, 0.17504
45, 217, 0.17348
46, 222, 0.17192
47, 215, 0.17582
48, 220, 0.17582
49, 218, 0.17661
50, 222, 0.17192
51, 221, 0.17739
52, 216, 0.17582
53, 225, 0.17114
54, 217, 0.17426
55, 227, 0.17426
56, 226, 0.17661
57, 223, 0.17504
58, 218, 0.17348
59, 223, 0.17270
60, 217, 0.17035
61, 219, 0.17426
62, 226, 0.17192
63, 217, 0.17426
64, 219, 0.17270
65, 225, 0.17426
66, 219, 0.17582
67, 216, 0.17661
68, 226, 0.17661
69, 218, 0.16879
70, 221, 0.16957
71, 225, 0.17582
72, 219, 0.17348
73, 223, 0.17114
74, 219, 0.17035
75, 222, 0.17504
76, 221, 0.17114
77, 222, 0.17504
78, 221, 0.17348
79, 217, 0.17348
80, 220, 0.17114
81, 221, 0.17114
82, 221, 0.17114
83, 222, 0.17035
84, 222, 0.17426
85, 218, 0.17270
86, 223, 0.17192
87, 224, 0.16957
88, 217, 0.17114
89, 221, 0.17348
90, 223, 0.17426
91, 222, 0.17348
92, 223, 0.17348
93, 224, 0.17348
94, 221, 0.17426
95, 219, 0.17348
96, 217, 0.17035
97, 219, 0.16957
98, 218, 0.17270
99, 222, 0.16957
100, 222, 0.17270
101, 219, 0.17270
102, 219, 0.17192
103, 218, 0.17348
104, 218, 0.17114
105, 217, 0.17035
106, 221, 0.17035
107, 219, 0.17270
108, 222, 0.17192
109, 221, 0.17192
110, 219, 0.17270
111, 218, 0.17035
112, 219, 0.17192
113, 221, 0.17270
114, 220, 0.16957
115, 219, 0.17035
116, 218, 0.17114
117, 220, 0.17270
118, 217, 0.17348
119, 221, 0.17035
120, 220, 0.17114
121, 220, 0.17114
122, 220, 0.17270
123, 219, 0.16957
124, 220, 0.17192
125, 218, 0.17426
126, 219, 0.17270
127, 219, 0.16879
128, 218, 0.17114
129, 218, 0.16879
130, 219, 0.17114
131, 217, 0.17114
132, 219, 0.17192
133, 216, 0.17270
134, 220, 0.17114
135, 217, 0.17348
136, 218, 0.17192
137, 217, 0.17348
138, 217, 0.17035
139, 217, 0.17114
140, 218, 0.17114
141, 221, 0.17035
142, 219, 0.17270
143, 218, 0.17035
144, 220, 0.16957
145, 216, 0.17192
146, 217, 0.17114
147, 220, 0.17270
148, 218, 0.17114
149, 217, 0.17114
150, 219, 0.17035
151, 217, 0.17114
152, 219, 0.17192
153, 219, 0.17192
154, 216, 0.16957
155, 218, 0.17035
156, 218, 0.16957
157, 215, 0.17035
158, 217, 0.17270
159, 218, 0.16957
160, 218, 0.16879
161, 218, 0.17035
162, 218, 0.17114
163, 216, 0.17035
164, 219, 0.17114
165, 216, 0.17114
166, 219, 0.17035
167, 216, 0.17035
168, 220, 0.17035
169, 220, 0.16879
170, 218, 0.17114
171, 218, 0.17035
172, 218, 0.17114
173, 217, 0.17035
174, 217, 0.16957
175, 219, 0.17035
176, 216, 0.17114
177, 218, 0.16957
178, 217, 0.16957
179, 217, 0.17035
180, 218, 0.17035
181, 217, 0.16957
182, 217, 0.17114
183, 217, 0.17114
184, 217, 0.17035
185, 218, 0.16957
186, 219, 0.16957
187, 219, 0.17192
188, 217, 0.16957
189, 218, 0.16957
190, 217, 0.16879
191, 217, 0.17114
192, 217, 0.17035
193, 217, 0.16957
194, 217, 0.16957
195, 218, 0.16957
196, 218, 0.17035
197, 218, 0.17035
198, 219, 0.17035
199, 217, 0.16957
200, 217, 0.17035
201, 217, 0.16879
202, 216, 0.17035
203, 218, 0.16957
204, 216, 0.17035
205, 217, 0.16957
206, 217, 0.17035
207, 216, 0.16879
208, 217, 0.16957
209, 217, 0.16957
210, 218, 0.16879
211, 216, 0.16801
212, 216, 0.16957
213, 217, 0.17035
214, 215, 0.16957
215, 218, 0.17035
216, 217, 0.17035
217, 218, 0.17035
218, 215, 0.16957
219, 217, 0.16879
220, 218, 0.16957
221, 216, 0.16957
222, 215, 0.16957
223, 218, 0.16957
224, 215, 0.16879
225, 215, 0.16879
226, 216, 0.16879
227, 216, 0.16879
228, 216, 0.16801
229, 215, 0.16879
230, 215, 0.16723
231, 215, 0.16801
232, 215, 0.16801
233, 216, 0.16879
234, 215, 0.16879
235, 215, 0.16801
236, 215, 0.16801
237, 217, 0.16801
238, 215, 0.16879
239, 215, 0.16801
240, 217, 0.16879
241, 215, 0.16879
242, 216, 0.16957
243, 217, 0.16957
244, 215, 0.16801
245, 214, 0.16801
246, 215, 0.16957
247, 215, 0.16801
248, 217, 0.16879
249, 215, 0.16801
250, 216, 0.16801
251, 215, 0.16801
252, 214, 0.16801
253, 215, 0.16723
254, 215, 0.16879
255, 216, 0.16801
256, 214, 0.16801
257, 215, 0.16801
258, 215, 0.16801
259, 216, 0.16879
260, 215, 0.16723
261, 216, 0.16801
262, 215, 0.16801
263, 216, 0.16879
264, 215, 0.16879
265, 215, 0.16879
266, 216, 0.16723
267, 215, 0.16801
268, 216, 0.16801
269, 216, 0.16801
270, 216, 0.16801
271, 216, 0.16801
272, 214, 0.16879
273, 215, 0.16801
274, 215, 0.16879
275, 215, 0.16801
276, 215, 0.16801
277, 216, 0.16801
278, 214, 0.16879
279, 214, 0.16723
280, 216, 0.16879
281, 213, 0.16723
282, 213, 0.16723
283, 216, 0.16723
284, 214, 0.16879
285, 214, 0.16723
286, 215, 0.16645
287, 213, 0.16723
288, 215, 0.16567
289, 214, 0.16801
290, 214, 0.16723
291, 213, 0.16801
292, 215, 0.16723
293, 215, 0.16723
294, 214, 0.16645
295, 213, 0.16801
296, 215, 0.16723
297, 215, 0.16723
298, 214, 0.16645
299, 214, 0.16645
300, 215, 0.16801
301, 214, 0.16801
302, 214, 0.16645
303, 215, 0.16567
304, 213, 0.16567
305, 214, 0.16723
306, 215, 0.16723
307, 215, 0.16723
308, 212, 0.16645
309, 213, 0.16723
310, 214, 0.16723
311, 213, 0.16645
312, 213, 0.16645
313, 213, 0.16801
314, 215, 0.16488
315, 214, 0.16723
316, 214, 0.16723
317, 213, 0.16723
318, 211, 0.16723
319, 214, 0.16645
320, 213, 0.16723
321, 213, 0.16723
322, 215, 0.16488
323, 213, 0.16567
324, 212, 0.16645
325, 213, 0.16645
326, 214, 0.16567
327, 214, 0.16645
328, 213, 0.16645
329, 213, 0.16488
330, 212, 0.16723
331, 213, 0.16723
332, 212, 0.16645
333, 214, 0.16723
334, 214, 0.16645
335, 213, 0.16723
336, 211, 0.16645
337, 214, 0.16567
338, 214, 0.16567
339, 213, 0.16645
340, 212, 0.16567
341, 213, 0.16645
342, 212, 0.16567
343, 210, 0.16567
344, 211, 0.16645
345, 211, 0.16567
346, 213, 0.16567
347, 213, 0.16645
348, 213, 0.16723
349, 211, 0.16723
350, 213, 0.16488
351, 211, 0.16488
352, 211, 0.16723
353, 212, 0.16645
354, 212, 0.16645
